 Time,human,robot
Wed Jun 15 14:03:21 2016,any coke riding is any cell,
Wed Jun 15 14:03:54 2016,,Missed
Wed Jun 15 14:04:04 2016,i'm great are you ready to be tested,
Wed Jun 15 14:04:05 2016,,Yes ! Let's do it  .
Wed Jun 15 14:04:08 2016,please call Stella,
Wed Jun 15 14:04:10 2016,,Sure
Wed Jun 15 14:04:13 2016,ask her to bring these things from the store,
Wed Jun 15 14:04:16 2016,,"Ok , ready   !"
Wed Jun 15 14:04:20 2016,six spoons of fresh snow peas,
Wed Jun 15 14:04:22 2016,,Got it
Wed Jun 15 14:04:25 2016,five thick slabs of blue cheese,
Wed Jun 15 14:04:27 2016,,I love cheese
Wed Jun 15 14:04:30 2016,maybe a snack for her brother Bob,
Wed Jun 15 14:04:33 2016,,Bob loves snacks
Wed Jun 15 14:04:35 2016,we also need things for the kids,
Wed Jun 15 14:04:38 2016,,What do we need  ?
Wed Jun 15 14:04:45 2016,,Missed
Wed Jun 15 14:04:40 2016,small plastic say activate work walk,
Wed Jun 15 14:04:48 2016,small plastic state at a bit weak for walk,
Wed Jun 15 14:04:53 2016,,Missed
Wed Jun 15 14:04:57 2016,small plastic stay,
Wed Jun 15 14:05:00 2016,,Missed
Wed Jun 15 14:05:06 2016,she can scoop these things into three red bags,
Wed Jun 15 14:05:10 2016,,Specific but ok
Wed Jun 15 14:05:13 2016,rule go me your state,
Wed Jun 15 14:05:16 2016,,Missed
Wed Jun 15 14:05:18 2016,we will go meet her wednesday at the train station,
Wed Jun 15 14:05:21 2016,,Perfect  .
Wed Jun 15 14:05:23 2016,your test is complete,
Wed Jun 15 14:05:25 2016,,Yay   !
