 Time,human,robot
Thu Jun 16 10:30:01 2016,any go money mistaken,
Thu Jun 16 10:30:05 2016,,Missed
Thu Jun 16 10:30:08 2016,i'm great androide test,
Thu Jun 16 10:30:12 2016,,Missed
Thu Jun 16 10:30:14 2016,please call Stella,
Thu Jun 16 10:30:15 2016,,Sure
Thu Jun 16 10:30:18 2016,ask her to bring these things from the store,
Thu Jun 16 10:30:20 2016,,"Ok , ready   !"
Thu Jun 16 10:30:23 2016,six spoons of fresh snow peas,
Thu Jun 16 10:30:25 2016,,Got it
Thu Jun 16 10:30:26 2016,five thick slabs of blue cheese,
Thu Jun 16 10:30:29 2016,,I love cheese
Thu Jun 16 10:30:32 2016,minutes act rather walk,
Thu Jun 16 10:30:35 2016,,Missed
Thu Jun 16 10:30:37 2016,we also need things for the kids,
Thu Jun 16 10:30:39 2016,,What do we need  ?
Thu Jun 16 10:30:42 2016,small plastic say get a thing switch wrong,
Thu Jun 16 10:30:46 2016,,Missed
Thu Jun 16 10:30:50 2016,she can scoop these things into three red bags,
Thu Jun 16 10:30:51 2016,,Specific but ok
Thu Jun 16 10:30:55 2016,we will go meet her wednesday at the train station,
Thu Jun 16 10:30:58 2016,,Perfect  .
Thu Jun 16 10:31:07 2016,your test is complete,
Thu Jun 16 10:31:08 2016,,Yay   !
