 Time,human,robot
Thu Jun 16 10:44:35 2016,,Oops ! I slipped ! \style=neutral\ \vct=105\ \rspd=110\
Thu Jun 16 10:44:52 2016,,"Hey , I'm back ! That's much better ."
Thu Jun 16 10:45:05 2016,i need go migraine is power,
Thu Jun 16 10:45:09 2016,,Missed
Thu Jun 16 10:45:20 2016,i'm great are you ready to be tested,
Thu Jun 16 10:45:23 2016,,Yes ! Let's do it  .
Thu Jun 16 10:45:28 2016,,Sure
Thu Jun 16 10:45:26 2016,please call Stella,
Thu Jun 16 10:45:29 2016,ask her to bring these things from the store,
Thu Jun 16 10:45:33 2016,,"Ok , ready   !"
Thu Jun 16 10:45:36 2016,six spoons of fresh snow peas,
Thu Jun 16 10:45:45 2016,,Got it
Thu Jun 16 10:45:47 2016,five thick slabs of blue cheese,
Thu Jun 16 10:45:50 2016,,I love cheese
Thu Jun 16 10:45:52 2016,maybe a snack for her brother Bob,
Thu Jun 16 10:45:55 2016,,Bob loves snacks
Thu Jun 16 10:45:58 2016,we also need things for the kids,
Thu Jun 16 10:46:01 2016,,What do we need  ?
Thu Jun 16 10:46:04 2016,a small plastic snake and a big toy frog,
Thu Jun 16 10:46:07 2016,,Is that it  ?
Thu Jun 16 10:46:11 2016,she can scoop these things into three red bags,
Thu Jun 16 10:46:13 2016,,Specific but ok
Thu Jun 16 10:46:16 2016,we will go meet her wednesday at the train station,
Thu Jun 16 10:46:19 2016,,Perfect  .
Thu Jun 16 10:46:20 2016,your test is complete,
Thu Jun 16 10:46:25 2016,,Yay   !
