 Time,human,robot
Wed Jun 15 14:19:13 2016,hey eagle my name is rice that,
Wed Jun 15 14:19:16 2016,,Missed
Wed Jun 15 14:19:21 2016,i'm made are you ready detest it,
Wed Jun 15 14:19:24 2016,,Missed
Wed Jun 15 14:19:26 2016,i'm great are you ready to be tested,
Wed Jun 15 14:19:29 2016,,Yes ! Let's do it  .
Wed Jun 15 14:19:34 2016,,Sure
Wed Jun 15 14:19:32 2016,please call Stella,
Wed Jun 15 14:19:35 2016,ask her to bring these things from the store,
Wed Jun 15 14:19:38 2016,,"Ok , ready   !"
Wed Jun 15 14:19:42 2016,crash no fleas,
Wed Jun 15 14:19:44 2016,,Missed
Wed Jun 15 14:19:46 2016,six spoons of fresh snow peas,
Wed Jun 15 14:19:49 2016,,Got it
Wed Jun 15 14:19:50 2016,five thick slabs of blue cheese,
Wed Jun 15 14:19:53 2016,,I love cheese
Wed Jun 15 14:19:55 2016,maybe a snack for her brother Bob,
Wed Jun 15 14:19:57 2016,,Bob loves snacks
Wed Jun 15 14:19:59 2016,we also need things for the kids,
Wed Jun 15 14:20:01 2016,,What do we need  ?
Wed Jun 15 14:20:03 2016,small plastic made and the bank i from,
Wed Jun 15 14:20:07 2016,,Missed
Wed Jun 15 14:20:09 2016,a small plastic snake and a big toy frog,
Wed Jun 15 14:20:12 2016,,Is that it  ?
Wed Jun 15 14:20:16 2016,she can scoop these things into three red bags,
Wed Jun 15 14:20:18 2016,,Specific but ok
Wed Jun 15 14:20:21 2016,we will go meet her wednesday at the train station,
Wed Jun 15 14:20:23 2016,,Perfect  .
Wed Jun 15 14:20:24 2016,your test is complete,
Wed Jun 15 14:20:26 2016,,Yay   !
Wed Jun 15 14:20:29 2016,well enough they lick what,
Wed Jun 15 14:20:32 2016,,Missed
