 Time,human,robot
Thu Jun 16 10:56:29 2016,any cool my things back,
Thu Jun 16 10:56:32 2016,,Missed
Thu Jun 16 10:56:39 2016,i'm great are you ready to be tested,
Thu Jun 16 10:56:42 2016,,Yes ! Let's do it  .
Thu Jun 16 10:56:45 2016,please call Stella,
Thu Jun 16 10:56:46 2016,,Sure
Thu Jun 16 10:56:48 2016,ask her to bring these things from the store,
Thu Jun 16 10:56:51 2016,,"Ok , ready   !"
Thu Jun 16 10:56:54 2016,six spoons of fresh snow peas,
Thu Jun 16 10:56:57 2016,,Got it
Thu Jun 16 10:56:59 2016,five thick slabs of blue cheese,
Thu Jun 16 10:57:01 2016,,I love cheese
Thu Jun 16 10:57:04 2016,it is nah for brother fall,
Thu Jun 16 10:57:07 2016,,Missed
Thu Jun 16 10:57:10 2016,we also need things for the kids,
Thu Jun 16 10:57:12 2016,,What do we need  ?
Thu Jun 16 10:57:15 2016,small plastic state and the bank,
Thu Jun 16 10:57:19 2016,,Missed
Thu Jun 16 10:57:23 2016,she can scoop these things into three red bags,
Thu Jun 16 10:57:25 2016,,Specific but ok
Thu Jun 16 10:57:28 2016,we will go meet her wednesday at the train station,
Thu Jun 16 10:57:31 2016,,Perfect  .
Thu Jun 16 10:57:35 2016,,Yay   !
Thu Jun 16 10:57:33 2016,your test is complete,
