 Time,human,robot
Fri Jul 22 14:24:44 2016,please call Stella,
Fri Jul 22 14:24:52 2016,,Sure
Fri Jul 22 14:24:55 2016,ask her to bring these things from the store,
Fri Jul 22 14:24:57 2016,,"Ok , ready   !"
Fri Jul 22 14:25:02 2016,six spoons of fresh snow peas,
Fri Jul 22 14:25:04 2016,,Got it
Fri Jul 22 14:25:05 2016,five thick slabs of blue cheese,
Fri Jul 22 14:25:08 2016,,I love cheese
Fri Jul 22 14:25:13 2016,they're used are for about,
Fri Jul 22 14:25:15 2016,,Missed
Fri Jul 22 14:25:17 2016,we also need things for the kids,
Fri Jul 22 14:25:19 2016,,What do we need  ?
Fri Jul 22 14:25:21 2016,a small plastic snake and a big toy frog,
Fri Jul 22 14:25:24 2016,,Is that it  ?
Fri Jul 22 14:25:27 2016,she can scoop these things into three red bags,
Fri Jul 22 14:25:29 2016,,Specific but ok
Fri Jul 22 14:25:41 2016,when stay at strangely,
Fri Jul 22 14:25:44 2016,,Missed
Fri Jul 22 14:25:47 2016,,Yay   !
Fri Jul 22 14:25:46 2016,your test is complete,
