 Time,human,robot
Sat Jul 23 11:57:55 2016,please call Stella,
Sat Jul 23 11:58:24 2016,,Sure
Sat Jul 23 11:58:30 2016,,"Ok , ready   !"
Sat Jul 23 11:58:27 2016,ask her to bring these things from the store,
Sat Jul 23 11:58:33 2016,six spoons of fresh snow peas,
Sat Jul 23 11:58:35 2016,,Got it
Sat Jul 23 11:58:37 2016,five thick slabs of blue cheese,
Sat Jul 23 11:58:40 2016,,I love cheese
Sat Jul 23 11:58:42 2016,the medium not ferrero,
Sat Jul 23 11:58:45 2016,,Missed
Sat Jul 23 11:58:47 2016,we also need things for the kids,
Sat Jul 23 11:58:50 2016,,What do we need  ?
Sat Jul 23 11:58:52 2016,it's not plastic say capades way from,
Sat Jul 23 11:58:57 2016,,Missed
Sat Jul 23 11:58:59 2016,she can scoop these things into three red bags,
Sat Jul 23 11:59:02 2016,,Specific but ok
Sat Jul 23 11:59:05 2016,we will go meet her wednesday at the train station,
Sat Jul 23 11:59:09 2016,,Perfect  .
Sat Jul 23 11:59:10 2016,your test is complete,
Sat Jul 23 11:59:12 2016,,Yay   !
