 Time,human,robot
Fri Jul 22 14:10:57 2016,i dig the roof,
Fri Jul 22 14:11:05 2016,i need rope,
Fri Jul 22 14:11:09 2016,Hi Nico,
Fri Jul 22 14:11:10 2016,,hi human   !
Fri Jul 22 14:11:14 2016,how you doin to go,
Fri Jul 22 14:11:20 2016,are you doing,
Fri Jul 22 14:11:30 2016,i didn't tell,
Fri Jul 22 14:11:38 2016,how i'm doing,
Fri Jul 22 14:11:43 2016,Hello Nico,
Fri Jul 22 14:11:44 2016,,hello human   !
Fri Jul 22 14:11:46 2016,let me going go to,
Fri Jul 22 14:11:58 2016,Hello Nico,
Fri Jul 22 14:12:05 2016,,hello human   !
Fri Jul 22 14:12:22 2016,tell me jokes rude cell,
Fri Jul 22 14:12:28 2016,hello chubby push over it iced,
Fri Jul 22 14:12:33 2016,all shut up,
Fri Jul 22 14:12:36 2016,,"Okay , sorry  ."
Fri Jul 22 14:12:41 2016,when sore for i do,
Fri Jul 22 14:12:49 2016,Hey,
Fri Jul 22 14:12:49 2016,,What's your name  ?
Fri Jul 22 14:12:52 2016,what is your today,
Fri Jul 22 14:13:02 2016,Hey,
Fri Jul 22 14:13:03 2016,,What's your name  ?
Fri Jul 22 14:13:06 2016,my name is <...>,
Fri Jul 22 14:13:07 2016,,That's a cool name !   Are you a professor or student at Mount Holyoke  ?
Fri Jul 22 14:13:12 2016,professor,
Fri Jul 22 14:13:14 2016,,Cool !   What department are you in  ?
Fri Jul 22 14:13:17 2016,computer science,
Fri Jul 22 14:13:20 2016,,Me too ! I'm an educational robot in   Heather's lab ! Where are you from  ?
Fri Jul 22 14:13:25 2016,i'm a little ill,
Fri Jul 22 14:13:28 2016,,I've heard   that's a cool place ! I was designed in France and   built in Japan. Are you   ready to see what I can do  ?
Fri Jul 22 14:13:35 2016,yes,
Fri Jul 22 14:13:37 2016,,Do   you want me to move or turn  ?
Fri Jul 22 14:13:51 2016,yes,
Fri Jul 22 14:14:00 2016,Hey,
Fri Jul 22 14:14:01 2016,,What's your name  ?
Fri Jul 22 14:14:03 2016,it is good,
Fri Jul 22 14:14:12 2016,,What's your name  ?
Fri Jul 22 14:14:12 2016,Hey,
Fri Jul 22 14:14:15 2016,my name is <...>,
Fri Jul 22 14:14:16 2016,,That's a cool name !   Are you a professor or student at Mount Holyoke  ?
Fri Jul 22 14:14:21 2016,professor,
Fri Jul 22 14:14:24 2016,,Cool !   What department are you in  ?
Fri Jul 22 14:14:33 2016,computer science,
Fri Jul 22 14:14:34 2016,,Me too ! I'm an educational robot in   Heather's lab ! Where are you from  ?
Fri Jul 22 14:14:40 2016,i'm full of course,
Fri Jul 22 14:14:42 2016,,I've heard   that's a cool place ! I was designed in France and   built in Japan. Are you   ready to see what I can do  ?
Fri Jul 22 14:15:03 2016,key shoveling,
Fri Jul 22 14:15:11 2016,no,
Fri Jul 22 14:15:14 2016,ok,
Fri Jul 22 14:15:15 2016,,Do   you want me to move or turn  ?
Fri Jul 22 14:15:18 2016,yes i did,
