 Time,human,robot
Fri Jul 22 17:16:45 2016,hick,
Fri Jul 22 17:16:56 2016,please call so,
Fri Jul 22 17:16:58 2016,,Missed
Fri Jul 22 17:17:08 2016,please call summer,
Fri Jul 22 17:17:10 2016,,Missed
Fri Jul 22 17:17:22 2016,please call cell,
Fri Jul 22 17:17:24 2016,,Missed
Fri Jul 22 17:17:32 2016,please call summer,
Fri Jul 22 17:17:34 2016,,Missed
Fri Jul 22 17:17:38 2016,yeah great mood and you need men,
Fri Jul 22 17:17:47 2016,key go mind it is utah,
Fri Jul 22 17:17:58 2016,ask me bring these things from store,
Fri Jul 22 17:18:03 2016,,Missed
Fri Jul 22 17:18:09 2016,six cruise of crash snowing used,
Fri Jul 22 17:18:13 2016,,Missed
Fri Jul 22 17:18:21 2016,maybe it's act a brother body,
Fri Jul 22 17:18:24 2016,,Missed
Fri Jul 22 17:18:32 2016,,Missed
Fri Jul 22 17:18:30 2016,please call cell,
Fri Jul 22 17:18:39 2016,real swimming things kids,
Fri Jul 22 17:18:43 2016,,Missed
