 Time,human,robot
Sun Jul 24 15:05:05 2016,with pleasure it sure,
Sun Jul 24 15:05:12 2016,three,
Sun Jul 24 15:05:20 2016,what time it is one,
Sun Jul 24 15:05:25 2016,greetings,
Sun Jul 24 15:05:26 2016,,Hi Human !   I'm Neeko. What's your name  ?
Sun Jul 24 15:05:30 2016,that,
Sun Jul 24 15:05:32 2016,my name is <...>,
Sun Jul 24 15:05:34 2016,,"Nice   to meet you ! Are you faculty , staff , or a student at Mount Holyoke  ?"
Sun Jul 24 15:05:41 2016,yes,
Sun Jul 24 15:05:54 2016,staff,
Sun Jul 24 15:05:56 2016,,Cool !   What department are you in  ?
Sun Jul 24 15:06:05 2016,laws of idaho piss on the service,
Sun Jul 24 15:06:11 2016,,I don't know   much about that ! I'm an educational robot in the computer   science department. You should visit   sometime ! Where are you from  ?
Sun Jul 24 15:06:20 2016,i am unhappy mashachusetts,
Sun Jul 24 15:06:24 2016,,I've heard   that's a cool place ! I was designed in France and   built in Japan. Are you   ready to see what I can do  ?
Sun Jul 24 15:06:42 2016,yes,
Sun Jul 24 15:06:43 2016,,Do   you want me to move or turn  ?
Sun Jul 24 15:06:53 2016,turn,
Sun Jul 24 15:06:54 2016,,Right or left  ?
Sun Jul 24 15:06:58 2016,right,
Sun Jul 24 15:06:58 2016,,I turned right ! Thanks for playing with me   !
