 Time,human,robot
Sun Jul 24 17:31:30 2016,pretty cool,
Sun Jul 24 17:31:38 2016,please call Stella,
Sun Jul 24 17:31:39 2016,,Sure
Sun Jul 24 17:31:41 2016,ask her to bring these things from the store,
Sun Jul 24 17:31:44 2016,,"Ok , ready   !"
Sun Jul 24 17:31:48 2016,six spoons of fresh snow peas,
Sun Jul 24 17:31:49 2016,,Got it
Sun Jul 24 17:31:51 2016,five thick slabs of blue cheese,
Sun Jul 24 17:31:54 2016,,I love cheese
Sun Jul 24 17:31:57 2016,medium used at forever balls,
Sun Jul 24 17:32:00 2016,,Missed
Sun Jul 24 17:32:02 2016,we also need things for the kids,
Sun Jul 24 17:32:05 2016,,What do we need  ?
Sun Jul 24 17:32:07 2016,small plastic see hand ok choice broke,
Sun Jul 24 17:32:12 2016,,Missed
Sun Jul 24 17:32:15 2016,she can scoop these things into three red bags,
Sun Jul 24 17:32:18 2016,,Specific but ok
Sun Jul 24 17:32:22 2016,we will go meet her wednesday at the train station,
Sun Jul 24 17:32:25 2016,,Perfect  .
Sun Jul 24 17:32:26 2016,your test is complete,
Sun Jul 24 17:32:28 2016,,Yay   !
