 Time,human,robot
Fri Jul 22 15:37:20 2016,it's cray six,
Fri Jul 22 15:37:25 2016,greetings Nico,
Fri Jul 22 15:37:27 2016,,Hi Human !   I'm Neeko. What's your name  ?
Fri Jul 22 15:37:31 2016,my name is <...>,
Fri Jul 22 15:37:33 2016,,"Nice   to meet you ! Are you faculty , staff , or a student at Mount Holyoke  ?"
Fri Jul 22 15:37:42 2016,student,
Fri Jul 22 15:37:43 2016,,Cool ! What's your major  ?
Fri Jul 22 15:37:50 2016,computer science,
Fri Jul 22 15:37:52 2016,,Me too ! I'm an educational robot in Heather   Pon-Barry's lab ! Where are you from  ?
Fri Jul 22 15:37:58 2016,you're,
Fri Jul 22 15:38:00 2016,,I've heard   that's a cool place ! I was designed in France and   built in Japan. Are you   ready to see what I can do  ?
Fri Jul 22 15:38:07 2016,sure,
Fri Jul 22 15:38:09 2016,,Do   you want me to move or turn  ?
Fri Jul 22 15:38:12 2016,turn,
Fri Jul 22 15:38:13 2016,,Right or left  ?
Fri Jul 22 15:38:14 2016,left,
Fri Jul 22 15:38:16 2016,,I turned left ! Thanks for playing with me   !
Fri Jul 22 15:38:20 2016,greetings,
Fri Jul 22 15:38:22 2016,,Hi Human !   I'm Neeko. What's your name  ?
Fri Jul 22 15:38:25 2016,my name is <...>,
Fri Jul 22 15:38:27 2016,,"Nice   to meet you ! Are you faculty , staff , or a student at Mount Holyoke  ?"
Fri Jul 22 15:38:33 2016,staff,
Fri Jul 22 15:38:35 2016,,Cool !   What department are you in  ?
Fri Jul 22 15:38:38 2016,i am lazy,
Fri Jul 22 15:38:40 2016,,I don't know   much about that ! I'm an educational robot in the computer   science department. You should visit   sometime ! Where are you from  ?
Fri Jul 22 15:38:49 2016,they are,
Fri Jul 22 15:38:51 2016,,I've heard   that's a cool place ! I was designed in France and   built in Japan. Are you   ready to see what I can do  ?
Fri Jul 22 15:38:59 2016,sure,
Fri Jul 22 15:39:00 2016,,Do   you want me to move or turn  ?
Fri Jul 22 15:39:03 2016,move,
Fri Jul 22 15:39:03 2016,,"Forward , left , or right  ?"
Fri Jul 22 15:39:06 2016,florida,
Fri Jul 22 15:39:09 2016,forward,
Fri Jul 22 15:39:10 2016,,I moved forward ! Thanks for playing with me   !
