 Time,human,robot
Thu Jul 21 13:16:02 2016,pain in the rear end detest it,
Thu Jul 21 13:16:08 2016,hey info name is color,
Thu Jul 21 13:16:11 2016,,What's your name  ?
Thu Jul 21 13:16:14 2016,me info my name it is the power,
Thu Jul 21 13:16:17 2016,,That's a cool name !   Are you a professor or student at Mount Holyoke  ?
Thu Jul 21 13:16:27 2016,,Yes ! Let's do it  .
Thu Jul 21 13:16:24 2016,i'm great are you ready to be tested,
Thu Jul 21 13:16:29 2016,please call Stella,
Thu Jul 21 13:16:31 2016,,Sure
Thu Jul 21 13:16:33 2016,ask her to bring these things from the store,
Thu Jul 21 13:16:35 2016,,"Ok , ready   !"
Thu Jul 21 13:16:40 2016,,Got it
Thu Jul 21 13:16:38 2016,six spoons of fresh snow peas,
Thu Jul 21 13:16:42 2016,five thick slabs of blue cheese,
Thu Jul 21 13:16:45 2016,,I love cheese
Thu Jul 21 13:16:47 2016,maybe sav rather body,
Thu Jul 21 13:16:52 2016,maybe a snack for her brother Bob,
Thu Jul 21 13:16:55 2016,,Bob loves snacks
Thu Jul 21 13:16:57 2016,we also need things for the kids,
Thu Jul 21 13:17:00 2016,,What do we need  ?
Thu Jul 21 13:17:02 2016,a small plastic snake and a big toy frog,
Thu Jul 21 13:17:04 2016,,Is that it  ?
Thu Jul 21 13:17:07 2016,she can scoop these things into three red bags,
Thu Jul 21 13:17:11 2016,,Specific but ok
Thu Jul 21 13:17:14 2016,we will go meet her wednesday at the train station,
Thu Jul 21 13:17:17 2016,,Perfect  .
Thu Jul 21 13:17:18 2016,your test is complete,
Thu Jul 21 13:17:20 2016,,Yay   !
