 Time,human,robot
Sun Jul 24 17:53:44 2016,,Sure
Sun Jul 24 17:53:42 2016,please call Stella,
Sun Jul 24 17:53:45 2016,ask her to bring these things from the store,
Sun Jul 24 17:53:48 2016,,"Ok , ready   !"
Sun Jul 24 17:53:51 2016,six spoons of fresh snow peas,
Sun Jul 24 17:53:53 2016,,Got it
Sun Jul 24 17:53:54 2016,five thick slabs of blue cheese,
Sun Jul 24 17:53:57 2016,,I love cheese
Sun Jul 24 17:54:02 2016,,Missed
Sun Jul 24 17:53:59 2016,it is nah for rather fall,
Sun Jul 24 17:54:07 2016,,Bob loves snacks
Sun Jul 24 17:54:05 2016,maybe a snack for her brother Bob,
Sun Jul 24 17:54:09 2016,all's any things colder cheese,
Sun Jul 24 17:54:12 2016,,Missed
Sun Jul 24 17:54:14 2016,we also need things for the kids,
Sun Jul 24 17:54:17 2016,,What do we need  ?
Sun Jul 24 17:54:18 2016,small plastic neck end be coal,
Sun Jul 24 17:54:23 2016,,Missed
Sun Jul 24 17:54:25 2016,small plastic stat activate awful,
Sun Jul 24 17:54:30 2016,,Missed
Sun Jul 24 17:54:38 2016,,Missed
Sun Jul 24 17:54:32 2016,small plastic so next en big truly from,
Sun Jul 24 17:54:49 2016,,Specific but ok
Sun Jul 24 17:54:44 2016,she can scoop these things into three red bags,
Sun Jul 24 17:54:52 2016,we will go meet her wednesday at the train station,
Sun Jul 24 17:54:56 2016,,Perfect  .
Sun Jul 24 17:54:57 2016,your test is complete,
Sun Jul 24 17:55:00 2016,,Yay   !
